Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,94.12999725341797,95.0,93.05000305175781,93.26000213623047,70.27789306640625,6019700
2015-01-05,93.30000305175781,93.68000030517578,92.22000122070312,92.2300033569336,69.501708984375,6211900
2015-01-06,92.66999816894531,93.80999755859375,91.87999725341797,92.4000015258789,69.62982177734375,6484100
2015-01-07,93.26000213623047,94.05000305175781,92.86000061035156,94.01000213623047,70.8430404663086,6400300
2015-01-08,94.2300033569336,94.9800033569336,94.05000305175781,94.36000061035156,71.10679626464844,5476700
2015-01-09,93.97000122070312,93.97000122070312,92.77999877929688,93.20999908447266,70.24019622802734,4283300
2015-01-12,93.52999877929688,93.80999755859375,92.5999984741211,93.01000213623047,70.08949279785156,3989600
2015-01-13,93.94999694824219,94.44000244140625,92.41999816894531,92.83000183105469,69.95384216308594,5971200
2015-01-14,91.44999694824219,92.05000305175781,91.12000274658203,91.54000091552734,68.98174285888672,7745500
2015-01-15,91.97000122070312,92.3499984741211,90.97000122070312,91.37999725341797,68.86116027832031,5737500
2015-01-16,91.05000305175781,91.69000244140625,90.73999786376953,91.48999786376953,68.94406127929688,6927000
2015-01-20,91.63999938964844,91.87999725341797,90.2300033569336,90.80000305175781,68.42408752441406,6967300
2015-01-21,90.16000366210938,90.45999908447266,89.54000091552734,90.33999633789062,68.07746887207031,8682200
2015-01-22,90.62000274658203,90.97000122070312,89.83999633789062,90.88999938964844,68.49191284179688,7536400
2015-01-23,90.91999816894531,91.63999938964844,89.43000030517578,89.55999755859375,67.48966979980469,11496000
2015-01-26,89.38999938964844,90.69999694824219,89.29000091552734,90.66999816894531,68.32610321044922,7753300
2015-01-27,89.95999908447266,90.30999755859375,89.55999755859375,89.56999969482422,67.49723052978516,6640800
2015-01-28,89.73999786376953,89.81999969482422,88.7699966430664,88.77999877929688,66.9018783569336,6921300
2015-01-29,91.5,93.5,91.26000213623047,93.2699966430664,70.28540802001953,19146900
2015-01-30,92.6500015258789,93.30000305175781,92.30999755859375,92.44000244140625,69.65996551513672,12385400
2015-02-02,92.05000305175781,92.66000366210938,91.43000030517578,92.51000213623047,69.71269989013672,6751400
2015-02-03,92.63999938964844,93.9800033569336,92.44999694824219,93.91999816894531,70.77523040771484,7373000
2015-02-04,93.5,94.43000030517578,93.5,94.05000305175781,70.87320709228516,6464800
2015-02-05,94.0999984741211,94.83000183105469,94.0,94.33999633789062,71.09174346923828,5564100
2015-02-06,94.1500015258789,94.4800033569336,93.6500015258789,93.98999786376953,70.8279800415039,4662700
2015-02-09,93.30000305175781,93.44999694824219,92.54000091552734,92.72000122070312,69.87097930908203,8203000
2015-02-10,93.33000183105469,94.2300033569336,92.97000122070312,94.0199966430664,70.8505859375,4697600
2015-02-11,94.16000366210938,94.33000183105469,93.30000305175781,94.20999908447266,70.99376678466797,5153900
2015-02-12,94.05000305175781,95.5999984741211,93.7699966430664,95.08999633789062,71.65692138671875,7910100
2015-02-13,95.4000015258789,95.8499984741211,94.93000030517578,95.6500015258789,72.07891082763672,6762200
2015-02-17,95.12000274658203,95.38999938964844,94.08999633789062,94.3499984741211,71.09927368164062,5972000
2015-02-18,94.2300033569336,94.79000091552734,94.0,94.58000183105469,71.2725830078125,5617500
2015-02-19,94.5,94.55000305175781,93.73999786376953,94.19000244140625,70.97871398925781,6312200
